./ms_random/highgirth/3sat/HG-3SAT-V300-C1200-22.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.286
./ms_random/highgirth/3sat/HG-3SAT-V300-C1200-23.cnf 1/1(100%) (1/1(100%)) 2.050s loops=0.0 updates=18642886.000 factor=1.000
./ms_random/highgirth/3sat/HG-3SAT-V300-C1200-24.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.125
./ms_random/highgirth/3sat/HG-3SAT-V300-C1200-3.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.286
./ms_random/highgirth/3sat/HG-3SAT-V300-C1200-4.cnf 1/1(100%) (0/1(0%)) 9.619s loops=0.0 updates=107590840.000 factor=1.000
./ms_random/highgirth/3sat/HG-3SAT-V300-C1200-5.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.143
./ms_random/highgirth/3sat/HG-3SAT-V300-C1200-6.cnf 1/1(100%) (0/1(0%)) 54.098s loops=0.0 updates=502015027.000 factor=1.000
./ms_random/highgirth/3sat/HG-3SAT-V300-C1200-7.cnf 1/1(100%) (0/1(0%)) 4.288s loops=0.0 updates=39505203.000 factor=1.000
./ms_random/highgirth/3sat/HG-3SAT-V300-C1200-8.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.250
./ms_random/highgirth/3sat/HG-3SAT-V300-C1200-9.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.125
./ms_random/highgirth/4sat/HG-4SAT-V100-C900-14.cnf 1/1(100%) (0/1(0%)) 8.908s loops=1.0 updates=53539837.000 factor=1.000
./ms_random/highgirth/4sat/HG-4SAT-V100-C900-19.cnf 1/1(100%) (0/1(0%)) 23.609s loops=4.0 updates=156549080.000 factor=1.000
./ms_random/highgirth/4sat/HG-4SAT-V100-C900-2.cnf 1/1(100%) (0/1(0%)) 1.309s loops=0.0 updates=1547707.000 factor=1.000
./ms_random/highgirth/4sat/HG-4SAT-V100-C900-20.cnf 1/1(100%) (0/1(0%)) 1.773s loops=0.0 updates=6285762.000 factor=1.000
./ms_random/highgirth/4sat/HG-4SAT-V100-C900-23.cnf 1/1(100%) (0/1(0%)) 10.237s loops=1.0 updates=66065325.000 factor=1.000
./ms_random/highgirth/4sat/HG-4SAT-V100-C900-4.cnf 1/1(100%) (0/1(0%)) 9.686s loops=1.0 updates=68360520.000 factor=1.000
./ms_random/highgirth/4sat/HG-4SAT-V100-C900-7.cnf 1/1(100%) (0/1(0%)) 2.161s loops=0.0 updates=12922635.000 factor=1.000
./ms_random/highgirth/4sat/HG-4SAT-V150-C1350-1.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.500
./ms_random/highgirth/4sat/HG-4SAT-V150-C1350-10.cnf 1/1(100%) (1/1(100%)) 0.347s loops=0.0 updates=215953.000 factor=1.000
./ms_random/highgirth/4sat/HG-4SAT-V150-C1350-100.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.500
./ms_random/highgirth/4sat/HG-4SAT-V150-C1350-11.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.500
./ms_random/highgirth/4sat/HG-4SAT-V150-C1350-12.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.333
./ms_random/highgirth/4sat/HG-4SAT-V150-C1350-13.cnf 1/1(100%) (0/1(0%)) 3.700s loops=0.0 updates=17650326.000 factor=1.000
./ms_random/highgirth/4sat/HG-4SAT-V150-C1350-14.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.500
./ms_random/highgirth/4sat/HG-4SAT-V150-C1350-15.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.500
./ms_random/highgirth/4sat/HG-4SAT-V150-C1350-16.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.500
./ms_random/highgirth/4sat/HG-4SAT-V150-C1350-17.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.333
./ms_random/highgirth/4sat/HG-4SAT-V150-C1350-18.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.500
./ms_random/highgirth/4sat/HG-4SAT-V150-C1350-19.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.500
./ms_random/highgirth/4sat/HG-4SAT-V150-C1350-2.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.500
./ms_random/highgirth/4sat/HG-4SAT-V150-C1350-20.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=2.000
./ms_random/highgirth/4sat/HG-4SAT-V150-C1350-21.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=2.000
./ms_random/highgirth/4sat/HG-4SAT-V150-C1350-22.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.500
./ms_random/highgirth/4sat/HG-4SAT-V150-C1350-23.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=4.000
./ms_random/highgirth/4sat/HG-4SAT-V150-C1350-24.cnf 1/1(100%) (0/1(0%)) 9.969s loops=0.0 updates=48692165.000 factor=1.000
./ms_random/highgirth/4sat/HG-4SAT-V150-C1350-3.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.500
./ms_random/highgirth/4sat/HG-4SAT-V150-C1350-4.cnf 1/1(100%) (0/1(0%)) 47.214s loops=0.0 updates=243582282.000 factor=1.000
./ms_random/highgirth/4sat/HG-4SAT-V150-C1350-5.cnf 1/1(100%) (0/1(0%)) 23.613s loops=0.0 updates=117589641.000 factor=1.000
./ms_random/highgirth/4sat/HG-4SAT-V150-C1350-6.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.500
./ms_random/highgirth/4sat/HG-4SAT-V150-C1350-7.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.500
./ms_random/highgirth/4sat/HG-4SAT-V150-C1350-8.cnf 1/1(100%) (0/1(0%)) 45.459s loops=1.0 updates=344646480.000 factor=1.000
./ms_random/highgirth/4sat/HG-4SAT-V150-C1350-9.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.333
Overall: 30/82(37%) (5/82(17%)) 18.229s 0.300 loops 164490419.500 updates 102.350 factor
