./ms_random/highgirth/3sat/HG-3SAT-V300-C1200-22.cnf 1/1(100%) (1/1(100%)) 1.130s loops=0.0 updates=9936619.000 factor=1.000
./ms_random/highgirth/3sat/HG-3SAT-V300-C1200-23.cnf 1/1(100%) (0/1(0%)) 5.921s loops=0.0 updates=52757508.000 factor=1.000
./ms_random/highgirth/3sat/HG-3SAT-V300-C1200-24.cnf 1/1(100%) (0/1(0%)) 13.489s loops=0.0 updates=120812860.000 factor=1.000
./ms_random/highgirth/3sat/HG-3SAT-V300-C1200-3.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.143
./ms_random/highgirth/3sat/HG-3SAT-V300-C1200-4.cnf 1/1(100%) (1/1(100%)) 2.173s loops=0.0 updates=18870789.000 factor=1.000
./ms_random/highgirth/3sat/HG-3SAT-V300-C1200-5.cnf 1/1(100%) (0/1(0%)) 23.496s loops=0.0 updates=210471847.000 factor=1.000
./ms_random/highgirth/3sat/HG-3SAT-V300-C1200-6.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.143
./ms_random/highgirth/3sat/HG-3SAT-V300-C1200-7.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.167
./ms_random/highgirth/3sat/HG-3SAT-V300-C1200-8.cnf 1/1(100%) (0/1(0%)) 6.741s loops=0.0 updates=59389301.000 factor=1.000
./ms_random/highgirth/3sat/HG-3SAT-V300-C1200-9.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.125
Overall: 24/50(48%) (7/50(29%)) 20.190s 0.292 loops 173085806.292 updates 55.049 factor
